Agency Name,Agent Name,Birth Date,Age,First,Last,Combined Names, COST 18-19 , PC 18-19 , COST 19-20 , PC 19-20 , COST 20-21 , PC 20-21 , COST 21-22 , PC 21-22 , COST 22-23 , PC 22-23 , COST 23-24 , PC 23-24 , Dollars Captured Above/ Below Value ,Value Capture %, Total Cost , Total PC 
Octagon Athlete Representation,Andrew Scott,03/29/1995,29,Brandon,Baddock,Brandon Baddock, $-   , $-   ," $75,000 "," $61,080 "," $110,000 "," $20,960 "," $150,000 "," $7,253 "," $200,000 ", $-   , $-   , $-   ," $445,707 ",599%," $535,000 "," $89,293 "
Octagon Athlete Representation,Andrew Scott,11/19/1998,26,Cale,Fleury,Cale Fleury, $-   , $-   , $-   , $-   , $-   , $-   ," $83,232 "," $423,520 "," $206,707 "," $179,990 "," $775,000 "," $621,849 "," $(160,420)",87%," $1,064,939 "," $1,225,359 "
Octagon Athlete Representation,Andrew Scott,01/31/1994,31,Zachary,Leslie,Zachary Leslie," $75,000 "," $214,480 ", $-   , $-   , $-   , $-   ," $150,000 "," $169,710 ", $-   , $-   , $-   , $-   ," $(159,190)",59%," $225,000 "," $384,190 "
Octagon Athlete Representation,Andrew Scott,03/18/1986,38,Cory,Schneider,Cory Schneider, $-   , $-   , $-   , $-   ," $700,000 "," $3,400 "," $500,000 "," $477,991 "," $400,000 "," $210,927 ", $-   , $-   ," $907,682 ",231%," $1,600,000 "," $692,318 "
Octagon Athlete Representation,Andrew Scott,06/07/2000,24,Egor,Sokolov,Egor Sokolov, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $120,000 "," $411,929 "," $(291,929)",29%," $120,000 "," $411,929 "
Octagon Athlete Representation,Andrew Scott,08/16/1999,25,Gabriel,Vilardi,Gabriel Vilardi, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $825,000 "," $7,075,649 "," $3,275,000 "," $5,592,990 "," $(8,568,639)",32%," $4,100,000 "," $12,668,639 "
Octagon Athlete Representation,Andrew Scott,06/03/1999,25,Matt,Villalta,Matt Villalta, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $87,500 "," $132,896 "," $96,951 "," $(56,652)"," $108,207 ",242%," $184,451 "," $76,244 "
Octagon Athlete Representation,Andrew Scott,12/09/1996,28,Mackenzie,Blackwood,Mackenzie Blackwood, $-   , $-   , $-   , $-   ," $1,475,000 "," $1,340,312 "," $2,800,000 "," $804,619 "," $4,125,000 "," $4,480 "," $2,200,000 "," $2,465,523 "," $5,985,066 ",230%," $10,600,000 "," $4,614,934 "
Octagon Athlete Representation,Andrew Scott,03/31/1998,26,Jakob,Chychrun,Jakob Chychrun, $-   , $-   ," $2,600,000 "," $4,255,828 "," $3,300,000 "," $4,836,988 "," $5,300,000 "," $1,406,841 "," $4,000,000 "," $4,031,294 "," $5,400,000 "," $4,264,081 "," $1,804,968 ",110%," $20,600,000 "," $18,795,032 "
Octagon Athlete Representation,Andrew Scott,10/27/1995,29,Leon,Draisaitl,Leon Draisaitl," $9,000,000 "," $11,698,800 "," $9,000,000 "," $12,049,558 "," $9,000,000 "," $11,169,054 "," $8,000,000 "," $17,011,688 "," $8,000,000 "," $18,693,581 "," $8,000,000 "," $15,778,849 "," $(35,401,530)",59%," $51,000,000 "," $86,401,530 "
Octagon Athlete Representation,Andrew Scott,04/20/1993,31,Ben,Hutton,Ben Hutton," $2,800,000 "," $1,868,416 "," $1,500,000 "," $2,313,688 "," $950,000 "," $472,759 "," $750,000 "," $1,983,824 "," $800,000 "," $1,442,621 "," $900,000 "," $2,609,288 "," $(2,990,596)",72%," $7,700,000 "," $10,690,596 "
Octagon Athlete Representation,Andrew Scott,08/16/1996,28,Kaapo,Kahkonen,Kaapo Kahkonen, $-   , $-   , $-   , $-   ," $453,049 "," $1,787,774 "," $750,000 "," $3,200,832 "," $2,600,000 "," $564,094 "," $2,900,000 "," $2,037,048 "," $(886,699)",88%," $6,703,049 "," $7,589,748 "
Octagon Athlete Representation,Andrew Scott,02/13/2001,23,Kaapo,Kakko,Kaapo Kakko, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,800,000 "," $5,710,437 "," $2,400,000 "," $2,713,810 "," $(4,224,247)",50%," $4,200,000 "," $8,424,247 "
Octagon Athlete Representation,Andrew Scott,04/19/1998,26,Patrik,Laine,Patrik Laine, $-   , $-   ," $6,000,000 "," $6,635,727 "," $7,500,000 "," $1,224,432 "," $7,500,000 "," $5,096,519 "," $7,500,000 "," $4,200,369 "," $9,100,000 "," $675,558 "," $19,767,395 ",211%," $37,600,000 "," $17,832,605 "
Octagon Athlete Representation,Andrew Scott,10/29/1996,28,Mikko,Rantanen,Mikko Rantanen, $-   , $-   ," $12,000,000 "," $7,940,242 "," $12,000,000 "," $10,531,323 "," $10,000,000 "," $13,867,273 "," $6,000,000 "," $13,651,112 "," $9,500,000 "," $13,243,720 "," $(9,733,670)",84%," $49,500,000 "," $59,233,670 "
Octagon Athlete Representation,Andrew Scott,10/27/1994,30,Rasmus,Ristolainen,Rasmus Ristolainen," $5,400,000 "," $4,327,582 "," $5,400,000 "," $3,714,602 "," $5,400,000 "," $1,810,264 "," $5,400,000 "," $2,086,818 "," $4,000,000 "," $3,013,017 "," $5,500,000 "," $856,774 "," $15,290,943 ",197%," $31,100,000 "," $15,809,057 "
Apollo Athletics,Bayne Pettinger,07/26/1991,33,Tyson,Barrie,Tyson Barrie," $5,750,000 "," $8,501,881 "," $6,000,000 "," $4,451,717 "," $3,750,000 "," $6,615,600 "," $4,000,000 "," $7,346,129 "," $4,500,000 "," $7,842,689 "," $5,000,000 "," $2,040,976 "," $(7,798,992)",79%," $29,000,000 "," $36,798,992 "
Apollo Athletics,Bayne Pettinger,07/18/1989,35,Jamie,Benn,Jamie Benn," $13,000,000 "," $7,255,957 "," $13,000,000 "," $5,917,032 "," $9,000,000 "," $4,186,079 "," $8,500,000 "," $2,912,774 "," $6,500,000 "," $11,758,208 "," $6,500,000 "," $9,164,593 "," $15,305,357 ",137%," $56,500,000 "," $41,194,643 "
Octagon Athlete Representation,Ben Hankinson,07/25/1994,30,Jake,Bischoff,Jake Bischoff, $-   , $-   ," $400,000 "," $91,463 "," $400,000 "," $25,360 "," $400,000 ", $-   , $-   , $-   , $-   , $-   ," $1,083,177 ",1027%," $1,200,000 "," $116,823 "
Octagon Athlete Representation,Ben Hankinson,07/17/1992,32,Nick,Bjugstad,Nick Bjugstad," $4,300,000 "," $2,760,489 "," $5,000,000 "," $292,670 "," $5,250,000 "," $2,234,134 "," $900,000 "," $1,107,018 "," $900,000 "," $3,376,926 "," $2,100,000 "," $4,013,850 "," $4,664,913 ",134%," $18,450,000 "," $13,785,087 "
Octagon Athlete Representation,Ben Hankinson,08/15/1994,30,Theodor,Blueger,Teddy Blueger," $539,024 "," $1,974,068 "," $750,000 "," $1,291,197 "," $750,000 "," $2,503,841 "," $2,000,000 "," $3,881,986 "," $2,400,000 "," $1,216,105 "," $1,900,000 "," $2,458,429 "," $(4,986,602)",63%," $8,339,024 "," $13,325,626 "
Octagon Athlete Representation,Ben Hankinson,02/25/1997,27,Brock,Boeser,Brock Boeser, $-   , $-   ," $4,000,000 "," $6,347,586 "," $6,125,000 "," $5,352,938 "," $7,500,000 "," $4,798,640 "," $6,650,000 "," $4,194,765 "," $6,650,000 "," $12,612,189 "," $(2,381,118)",93%," $30,925,000 "," $33,306,118 "
Octagon Athlete Representation,Ben Hankinson,02/26/1997,27,Henry,Bowlby,Henry Bowlby, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $90,000 "," $283,820 ", $-   , $-   ," $(193,820)",32%," $90,000 "," $283,820 "
Octagon Athlete Representation,Ben Hankinson,09/14/1993,31,Travis,Boyd,Travis Boyd," $800,000 "," $1,995,793 "," $800,000 "," $2,023,833 "," $700,000 "," $1,186,459 "," $750,000 "," $3,146,691 "," $1,500,000 "," $1,511,323 "," $2,000,000 "," $1,033,618 "," $(4,347,717)",60%," $6,550,000 "," $10,897,717 "
Octagon Athlete Representation,Ben Hankinson,02/05/1999,26,Noah,Cates,Noah Cates, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $2,625,000 "," $1,337,375 "," $1,287,625 ",196%," $2,625,000 "," $1,337,375 "
Octagon Athlete Representation,Ben Hankinson,03/04/1992,32,Derek,Forbort,Derek Forbort," $2,250,000 "," $1,527,427 "," $2,800,000 "," $704,284 "," $1,000,000 "," $2,346,971 "," $2,000,000 "," $2,140,286 "," $3,500,000 "," $3,140,012 "," $3,500,000 "," $1,561,636 "," $3,629,384 ",132%," $15,050,000 "," $11,420,616 "
Octagon Athlete Representation,Ben Hankinson,07/10/1996,28,Shane,Gersich,Shane Gersich, $-   , $-   ," $125,000 "," $221,800 "," $150,000 "," $116,720 "," $187,500 "," $340,920 ", $-   , $-   , $-   , $-   ," $(216,940)",68%," $462,500 "," $679,440 "
Octagon Athlete Representation,Ben Hankinson,10/06/1994,30,Jake,Guentzel,Jake Guentzel, $-   , $-   ," $7,000,000 "," $6,097,746 "," $5,000,000 "," $6,287,060 "," $7,000,000 "," $11,859,148 "," $5,000,000 "," $7,722,613 "," $6,000,000 "," $9,797,503 "," $(11,764,070)",72%," $30,000,000 "," $41,764,070 "
Octagon Athlete Representation,Ben Hankinson,09/21/1990,34,Nick,Jensen,Nick Jensen," $825,000 "," $3,476,696 "," $3,000,000 "," $2,007,081 "," $2,000,000 "," $2,331,369 "," $3,000,000 "," $5,755,528 "," $2,000,000 "," $3,951,328 "," $5,000,000 "," $2,371,171 "," $(4,068,173)",80%," $15,825,000 "," $19,893,173 "
Octagon Athlete Representation,Ben Hankinson,05/05/1990,34,Darcy,Kuemper,Darcy Kuemper," $1,600,000 "," $11,108,973 "," $2,100,000 "," $9,165,109 "," $3,500,000 "," $2,242,478 "," $5,500,000 "," $14,528,387 "," $6,000,000 "," $5,600,183 "," $6,000,000 "," $1,177,597 "," $(19,122,727)",56%," $24,700,000 "," $43,822,727 "
Octagon Athlete Representation,Ben Hankinson,02/06/1995,29,Vinni,Lettieri,Vinni Lettieri, $-   , $-   ," $436,585 "," $442,440 "," $607,317 "," $147,542 "," $607,317 "," $991,986 "," $662,195 "," $425,328 "," $676,220 "," $340,718 "," $641,620 ",127%," $2,989,634 "," $2,348,014 "
Octagon Athlete Representation,Ben Hankinson,12/18/1993,31,Charlie,Lindgren,Charlie Lindgren," $750,000 "," $513,861 "," $750,000 "," $223,887 "," $750,000 "," $21,620 "," $574,390 "," $2,759,998 "," $1,200,000 "," $1,347,665 "," $1,100,000 "," $5,780,155 "," $(5,522,796)",48%," $5,124,390 "," $10,647,186 "
Octagon Athlete Representation,Ben Hankinson,02/11/1998,26,Ryan,Lindgren,Ryan Lindgren, $-   , $-   , $-   , $-   , $-   , $-   ," $2,000,000 "," $5,926,762 "," $3,000,000 "," $4,930,000 "," $4,000,000 "," $4,800,488 "," $(6,657,250)",57%," $9,000,000 "," $15,657,250 "
Octagon Athlete Representation,Ben Hankinson,04/23/1988,36,Patrick,Maroon,Pat Maroon," $1,750,000 "," $3,001,552 "," $900,000 "," $1,706,830 "," $800,000 "," $721,346 "," $1,000,000 "," $2,099,354 "," $1,000,000 "," $(2,365,428)"," $1,000,000 "," $(463,330)"," $1,749,676 ",137%," $6,450,000 "," $4,700,324 "
Octagon Athlete Representation,Ben Hankinson,06/13/1989,35,Ryan,McDonagh,Ryan McDonagh," $5,300,000 "," $8,862,950 "," $8,400,000 "," $3,940,123 "," $5,460,000 "," $6,457,067 "," $8,400,000 "," $6,183,020 "," $5,460,000 "," $4,587,466 "," $8,400,000 "," $5,312,260 "," $6,077,114 ",117%," $41,420,000 "," $35,342,886 "
Octagon Athlete Representation,Ben Hankinson,10/15/1991,33,Brock,Nelson,Brock Nelson," $4,250,000 "," $7,537,744 "," $8,000,000 "," $9,107,149 "," $5,200,000 "," $5,803,712 "," $8,000,000 "," $6,580,900 "," $5,200,000 "," $9,149,611 "," $5,600,000 "," $7,843,252 "," $(9,772,368)",79%," $36,250,000 "," $46,022,368 "
Octagon Athlete Representation,Ben Hankinson,12/18/1998,26,Jake,Oettinger,Jake Oettinger, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $2,400,000 "," $13,060,395 "," $4,800,000 "," $9,509,296 "," $(15,369,691)",32%," $7,200,000 "," $22,569,691 "
Octagon Athlete Representation,Ben Hankinson,12/01/1994,30,Gustav,Olofsson,Gustav Olofsson," $775,000 "," $(75,538)"," $240,671 "," $46,342 "," $256,098 "," $105,600 "," $206,707 "," $126,300 "," $280,793 "," $313,166 "," $355,183 "," $219,225 "," $1,379,356 ",288%," $2,114,451 "," $735,095 "
Octagon Athlete Representation,Ben Hankinson,11/01/1991,33,Tyler,Pitlick,Tyler Pitlick," $1,000,000 "," $1,555,645 "," $1,000,000 "," $3,505,352 "," $1,300,000 "," $1,257,407 "," $2,200,000 "," $33,718 "," $750,000 "," $1,733,004 "," $787,500 "," $238,374 "," $(1,286,000)",85%," $7,037,500 "," $8,323,500 "
Octagon Athlete Representation,Ben Hankinson,03/17/1998,26,Justin,Richards,Justin Richards, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $290,349 "," $250,000 "," $142,040 "," $(112,389)",74%," $320,000 "," $432,389 "
Octagon Athlete Representation,Ben Hankinson,08/22/1991,33,Brayden,Schenn,Brayden Schenn," $5,000,000 "," $6,416,789 "," $4,500,000 "," $6,991,555 "," $8,000,000 "," $3,288,428 "," $8,000,000 "," $8,071,759 "," $5,200,000 "," $3,617,819 "," $8,000,000 "," $3,707,090 "," $6,606,560 ",121%," $38,700,000 "," $32,093,440 "
Octagon Athlete Representation,Ben Hankinson,11/02/1989,35,Luke,Schenn,Luke Schenn," $800,000 "," $278,813 "," $700,000 "," $416,693 "," $800,000 "," $(290,077)"," $800,000 "," $2,844,116 "," $900,000 "," $2,472,892 "," $2,750,000 "," $781,491 "," $246,072 ",104%," $6,750,000 "," $6,503,928 "
Octagon Athlete Representation,Ben Hankinson,05/11/1995,29,Jimmy,Schuldt,Jimmy Schuldt, $-   , $-   ," $850,000 "," $164,040 "," $150,000 "," $160,320 "," $300,000 "," $165,140 ", $-   , $-   ," $250,000 "," $335,821 "," $724,679 ",188%," $1,550,000 "," $825,321 "
Octagon Athlete Representation,Ben Hankinson,04/10/1998,26,Riley,Tufte,Riley Tufte, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $149,024 "," $377,259 "," $399,390 "," $518,862 "," $(347,706)",61%," $548,415 "," $896,121 "
Dynasty Hockey Group,Blake Robson,05/12/1998,26,Nick,Blankenburg,Nick Blankenburg, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $800,000 "," $1,512,218 "," $850,000 "," $490,041 "," $(352,259)",82%," $1,650,000 "," $2,002,259 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,03/06/1996,28,Anthony,Angello,Anthony Angello, $-   , $-   , $-   , $-   ," $300,000 "," $739,165 "," $350,000 "," $145,754 "," $275,000 "," $169,070 "," $225,000 "," $107,520 "," $(11,509)",99%," $1,150,000 "," $1,161,509 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,10/06/1992,32,Josh,Archibald,Josh Archibald," $700,000 "," $2,166,864 "," $1,000,000 "," $2,423,684 "," $1,500,000 "," $482,412 "," $1,500,000 "," $(226,662)"," $900,000 "," $1,225,510 "," $800,000 ", $-   ," $328,192 ",105%," $6,400,000 "," $6,071,808 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,07/22/1993,31,Cole,Bardreau,Cole Bardreau," $125,000 "," $173,202 "," $70,000 "," $55,622 "," $70,000 "," $165,200 "," $160,000 "," $296,280 "," $180,000 "," $256,836 ", $-   , $-   ," $(342,140)",64%," $605,000 "," $947,140 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,05/12/1994,30,Gavin,Bayreuther,Gavin Bayreuther, $-   , $-   ," $170,000 "," $201,640 "," $325,000 "," $126,641 "," $300,000 "," $725,791 "," $750,000 "," $1,027,027 "," $775,000 "," $44,423 "," $194,478 ",109%," $2,320,000 "," $2,125,522 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,04/05/2001,23,Matthew,Boldy,Matt Boldy, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $8,000,000 "," $7,076,828 "," $923,172 ",113%," $8,000,000 "," $7,076,828 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,01/06/1995,30,Will,Butcher,Will Butcher, $-   , $-   ," $3,500,000 "," $2,535,196 "," $3,600,000 "," $1,360,961 "," $4,100,000 "," $1,138,366 "," $300,000 "," $346,630 "," $425,000 "," $141,760 "," $6,402,087 ",216%," $11,925,000 "," $5,522,913 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,11/28/1991,33,Blake,Coleman,Blake Coleman," $1,800,000 "," $1,641,606 "," $1,800,000 "," $4,204,335 "," $1,800,000 "," $4,819,637 "," $3,900,000 "," $4,334,335 "," $4,900,000 "," $3,462,099 "," $5,900,000 "," $5,459,089 "," $(3,821,101)",84%," $20,100,000 "," $23,921,101 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,12/12/1992,32,Austin,Czarnik,Austin Czarnik," $1,250,000 "," $1,949,291 "," $1,250,000 "," $747,917 "," $495,122 "," $9,140 "," $750,000 "," $1,533,485 "," $574,390 "," $772,444 "," $584,756 "," $195,826 "," $(303,835)",94%," $4,904,268 "," $5,208,103 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,11/01/1989,35,Zac,Dalpe,Zac Dalpe," $275,000 "," $770,563 "," $350,000 "," $132,040 "," $350,000 "," $275,526 "," $400,000 "," $460,194 "," $350,000 "," $307,752 "," $400,000 "," $313,500 "," $(134,575)",94%," $2,125,000 "," $2,259,575 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,07/28/1995,29,Hudson,Fasching,Hudson Fasching," $511,288 "," $240,586 "," $442,988 "," $370,480 "," $479,268 "," $(103,174)"," $513,110 "," $147,763 "," $501,829 "," $3,169,079 "," $775,000 "," $1,174,164 "," $(1,775,415)",64%," $3,223,483 "," $4,998,898 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,03/20/1992,32,Justin,Faulk,Justin Faulk," $6,000,000 "," $7,497,851 "," $6,000,000 "," $2,365,024 "," $9,000,000 "," $3,368,472 "," $9,000,000 "," $9,871,732 "," $5,850,000 "," $5,834,822 "," $7,900,000 "," $3,124,374 "," $11,687,725 ",136%," $43,750,000 "," $32,062,275 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,10/30/1996,28,Dennis,Gilbert,Dennis Gilbert, $-   , $-   , $-   , $-   , $-   , $-   ," $404,634 "," $191,480 "," $750,000 "," $193,081 "," $775,000 "," $701,536 "," $843,537 ",178%," $1,929,634 "," $1,086,097 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,02/16/1997,27,Jordan,Greenway,Jordan Greenway, $-   , $-   , $-   , $-   ," $1,600,000 "," $2,312,545 "," $2,600,000 "," $3,210,073 "," $2,500,000 "," $584,624 "," $3,500,000 "," $1,913,018 "," $2,179,740 ",127%," $10,200,000 "," $8,020,260 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,05/09/1995,29,Jordan,Gross,Jordan Gross, $-   , $-   , $-   , $-   ," $145,000 "," $148,643 "," $200,000 "," $473,208 "," $225,000 "," $963,611 "," $775,000 "," $238,236 "," $(478,698)",74%," $1,345,000 "," $1,823,698 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,01/30/1992,33,Justin,Holl,Justin Holl," $650,000 "," $12,328 "," $700,000 "," $2,398,216 "," $2,000,000 "," $4,650,992 "," $2,000,000 "," $4,029,561 "," $2,000,000 "," $3,641,530 "," $3,400,000 "," $1,166,029 "," $(5,148,656)",68%," $10,750,000 "," $15,898,656 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,03/11/1999,25,Mark,Kastelic,Mark Kastelic, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $800,000 "," $(124,266)"," $924,266 ",-644%," $800,000 "," $(124,266)"
Sports Consulting Group Inc.,Brian & Scott Bartlett,12/09/1994,30,Ryan,Lomberg,Ryan Lomberg, $-   , $-   ," $646,220 "," $188,780 "," $700,000 "," $(1,779,455)"," $750,000 "," $334,514 "," $775,000 "," $4,941 "," $825,000 "," $(834,192)"," $5,781,632 ",-177%," $3,696,220 "," $(2,085,412)"
Sports Consulting Group Inc.,Brian & Scott Bartlett,09/26/1997,27,Joona,Luoto,Joona Luoto, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $300,000 "," $130,407 ", $-   , $-   ," $169,593 ",230%," $300,000 "," $130,407 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,10/30/1998,26,Cale,Makar,Cale Makar, $-   , $-   , $-   , $-   , $-   , $-   ," $8,000,000 "," $20,161,841 "," $9,000,000 "," $10,394,896 "," $11,000,000 "," $14,247,149 "," $(16,803,886)",62%," $28,000,000 "," $44,803,886 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,02/10/1992,32,Sakari,Manninen,Sakari Manninen, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $750,000 "," $352,440 ", $-   , $-   ," $397,560 ",213%," $750,000 "," $352,440 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,12/20/1996,28,Cooper,Marody,Cooper Marody, $-   , $-   , $-   , $-   , $-   , $-   ," $150,000 "," $602,871 "," $400,000 "," $398,250 "," $400,000 "," $445,364 "," $(496,485)",66%," $950,000 "," $1,446,485 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,08/17/1996,28,Dysin,Mayo,Dysin Mayo, $-   , $-   ," $70,000 "," $168,920 "," $70,000 "," $24,160 "," $130,000 "," $1,789,595 "," $850,000 "," $23,072 "," $1,000,000 "," $149,840 "," $(35,587)",98%," $2,120,000 "," $2,155,587 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,10/12/1993,31,Jake,McCabe,Jake McCabe," $1,775,000 "," $1,942,440 "," $2,900,000 "," $1,371,173 "," $2,800,000 "," $527,916 "," $3,000,000 "," $2,541,592 "," $4,000,000 "," $4,850,570 "," $4,000,000 "," $5,381,203 "," $1,860,106 ",111%," $18,475,000 "," $16,614,894 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,06/15/1996,28,Bobby,McMann,Bobby McMann, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $559,756 "," $250,504 "," $592,683 "," $2,363,461 "," $(1,461,526)",44%," $1,152,439 "," $2,613,965 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,06/15/1998,26,Nicklaus,Perbix,Nicklaus Perbix, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,125,000 "," $3,796,386 "," $(2,671,386)",30%," $1,125,000 "," $3,796,386 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,02/16/1996,28,Austin,Poganski,Austin Poganski, $-   , $-   , $-   , $-   ," $100,000 "," $(1,790)"," $200,000 "," $62,511 "," $225,000 "," $336,560 ", $-   , $-   ," $127,719 ",132%," $525,000 "," $397,281 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,01/14/1994,31,Andrew,Poturalski,Andrew Poturalski," $85,366 "," $1,044,971 "," $85,366 "," $56,640 "," $358,537 "," $352,360 "," $213,415 "," $1,222,719 "," $750,000 "," $514,180 "," $775,000 "," $493,199 "," $(1,416,386)",62%," $2,267,683 "," $3,684,069 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,08/06/2000,24,Alec,Regula,Alec Regula, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $100,000 "," $301,640 "," $(201,640)",33%," $100,000 "," $301,640 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,06/18/1996,28,Jerad,Rosburg,Jerad Rosburg, $-   , $-   , $-   , $-   , $-   , $-   ," $85,000 "," $94,400 "," $110,000 "," $15,200 "," $225,000 ", $-   ," $310,400 ",383%," $420,000 "," $109,600 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,05/11/1992,32,Bryan,Rust,Bryan Rust," $3,500,000 "," $4,691,120 "," $3,500,000 "," $7,208,769 "," $3,500,000 "," $5,435,901 "," $3,500,000 "," $7,526,017 "," $6,100,000 "," $4,123,924 "," $6,100,000 "," $6,000,068 "," $(8,785,799)",75%," $26,200,000 "," $34,985,799 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,04/17/1994,30,John,Stevens,John Stevens, $-   , $-   , $-   , $-   , $-   , $-   ," $100,000 "," $424,960 "," $165,000 "," $208,270 ", $-   , $-   ," $(368,230)",42%," $265,000 "," $633,230 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,07/22/1996,28,Nolan,Stevens,Nolan Stevens, $-   , $-   ," $70,000 "," $270,620 "," $80,000 "," $156,280 "," $100,000 "," $128,720 ", $-   , $-   ," $150,000 "," $179,600 "," $(335,220)",54%," $400,000 "," $735,220 "
Sports Consulting Group Inc.,Brian & Scott Bartlett,06/19/1994,30,Matt,Tomkins,Matt Tomkins, $-   , $-   ," $116,098 ", $-   ," $116,098 "," $46,917 ", $-   , $-   , $-   , $-   ," $288,415 "," $1,977,517 "," $(1,503,824)",26%," $520,610 "," $2,024,434 "
